#;NAME;;P0;;;P1;;;F0;;;F1;;;AGE;BSURF;EDOT;
;;;(s);;;;;;(Hz);;;(s^-2);;;(Yr);(G);(ergs/s);
1;J0002+6216;cwp+17;0.1153635682680;1.4e-12;cwp+17;5.96703E-15;7.0e-20;cwp+17;8.6682478274;1.0e-10;cwp+17;-0.448354E-12;5.0e-18;cwp+17;3.06e+05;8.4e+11;1.5e+35;
2;J0006+1834;cnt96;0.69374767047;1.4e-10;cn95;2.097E-15;1.2e-17;cn95;1.4414462816;3.0e-10;cn95;-4.36E-15;3.0e-17;cn95;5.24e+06;1.22e+12;2.5e+32;
3;J0007+7303;aaa+09c;0.3158731909;3.0e-10;awd+12;3.6039E-13;5.0e-17;awd+12;3.165827392;3.0e-09;awd+12;-3.6120E-12;5.0e-16;awd+12;1.39e+04;1.08e+13;4.5e+35;
4;J0011+08;dsm+16;2.55287;0;dsm+16;*;0;*;0.391716;0;dsm+16;*;0;*;*;*;*;
5;B0011+47;dth78;1.240699038946;1.1e-11;hlk+04;5.6446E-16;1.4e-19;hlk+04;0.805997239145;7.0e-12;hlk+04;-3.6669E-16;9.0e-20;hlk+04;3.48e+07;8.47e+11;1.2e+31;
6;J0021-0909;clh+20;2.31413082909;1.7e-10;clh+20;1.039E-15;1.7e-17;clh+20;0.43212768588;3.0e-11;clh+20;-1.94e-16;3.0e-18;clh+20;3.53e+07;1.57e+12;3.3e+30;
7;J0023+0923;hrm+11;0.003050203104480002;7.0e-18;abb+18;1.14234E-20;4.0e-25;abb+18;327.8470205906107;7.0e-13;abb+18;-1.22783E-15;4.0e-20;abb+18;4.23e+09;1.89e+08;1.6e+34;
8;J0024-7204aa;phl+16;0.00184;0;phl+16;*;0;*;543.478261;0;phl+16;*;0;*;*;*;*;
9;J0024-7204ab;phl+16;0.0037046394947985;6.0e-16;frk+17;9.820E-21;9.0e-24;frk+17;269.93179806134;4.0e-11;frk+17;-0.7155E-15;6.0e-19;frk+17;5.98e+09;1.93e+08;7.6e+33;
10;B0021-72C;mld+90;0.00575677999551635;1.4e-16;frk+17;-4.98503E-20;2.0e-24;frk+17;173.708218965958;4.0e-12;frk+17;1.50421E-15;6.0e-20;frk+17;*;*;*;
11;B0021-72D;mlr+91;0.00535757328486573;9.0e-17;frk+17;-3.4220E-21;9.0e-25;frk+17;186.651669856731;3.0e-12;frk+17;0.11922E-15;3.0e-20;frk+17;*;*;*;
12;B0021-72E;mlr+91;0.00353632915276244;4.0e-17;frk+17;9.85103E-20;6.0e-25;frk+17;282.779107035000;3.0e-12;frk+17;-7.87728E-15;4.0e-20;frk+17;5.69e+08;5.97e+08;8.8e+34;
13;B0021-72F;mlr+91;0.00262357935251262;4.0e-17;frk+17;6.45029E-20;7.0e-25;frk+17;381.158663656311;5.0e-12;frk+17;-9.3711E-15;1.0e-19;frk+17;6.44e+08;4.16e+08;1.4e+35;
14;B0021-72G;rlm+95;0.00404037914356515;1.4e-16;frk+17;-4.21584E-20;1.7e-24;frk+17;247.501525096385;8.0e-12;frk+17;2.5825E-15;1.0e-19;frk+17;*;*;*;
15;B0021-72H;mlr+91;0.00321034070935032;1.1e-16;frk+17;-1.8294E-21;1.1e-24;frk+17;311.49341784423;1.0e-11;frk+17;0.1775E-15;1.0e-19;frk+17;*;*;*;
16;B0021-72I;mlr+91;0.00348499206166289;1.3e-16;frk+17;-4.5874E-20;3.0e-24;frk+17;286.94469953049;1.0e-11;frk+17;3.7771E-15;2.0e-19;frk+17;*;*;*;
17;B0021-72J;mlr+91;0.00210063354535246;5.0e-17;frk+17;-9.7917E-21;9.0e-25;frk+17;476.04685844061;1.0e-11;frk+17;2.2190E-15;2.0e-19;frk+17;*;*;*;
18;B0021-72L;rlm+95;0.0043461679994616;4.0e-16;frk+17;-1.22045E-19;4.0e-24;frk+17;230.08774629142;2.0e-11;frk+17;6.4611E-15;2.0e-19;frk+17;*;*;*;
19;B0021-72M;mlr+91;0.0036766432176002;3.0e-16;frk+17;-3.8419E-20;6.0e-24;frk+17;271.98722878874;2.0e-11;frk+17;2.8421E-15;4.0e-19;frk+17;*;*;*;
20;B0021-72N;rlm+95;0.00305395434626085;1.0e-16;frk+17;-2.18570E-20;1.9e-24;frk+17;327.44431861739;1.0e-11;frk+17;2.3435E-15;2.0e-19;frk+17;*;*;*;
21;J0024-7204O;clf+00;0.00264334329724357;5.0e-17;frk+17;3.03493E-20;6.0e-25;frk+17;378.308788360098;6.0e-12;frk+17;-4.34352E-15;8.0e-20;frk+17;1.38e+09;2.87e+08;6.5e+34;
22;J0024-7204P;clf+00;0.0036430207;3.0e-10;rft+16;6.6E-19;4.0e-20;rft+16;274.49748;2.0e-05;rft+16;-5E-14;3.0e-15;rft+16;8.7e+07;1.57e+09;5.4e+35;
23;J0024-7204Q;clf+00;0.00403318118457258;1.5e-16;frk+17;3.4008E-20;4.0e-24;frk+17;247.943237418920;9.0e-12;frk+17;-2.0907E-15;2.0e-19;frk+17;1.88e+09;3.75e+08;2.0e+34;
24;J0024-7204R;clf+00;0.00348046270749329;1.3e-16;frk+17;1.48352E-19;3.0e-24;frk+17;287.31811946930;1.0e-11;frk+17;-12.2467E-15;2.0e-19;frk+17;3.72e+08;7.27e+08;1.4e+35;
25;J0024-7204S;clf+00;0.00283040595787912;8.0e-17;frk+17;-1.205413E-19;9.0e-25;frk+17;353.306209385356;9.0e-12;frk+17;15.0466E-15;1.0e-19;frk+17;*;*;*;
26;J0024-7204T;clf+00;0.0075884798073671;1.2e-15;frk+17;2.93805E-19;1.2e-23;frk+17;131.77869947406;2.0e-11;frk+17;-5.1021E-15;2.0e-19;frk+17;4.09e+08;1.51e+09;2.7e+34;
27;J0024-7204U;clf+00;0.00434282669639233;1.2e-16;frk+17;9.52279E-20;1.7e-24;frk+17;230.264772211776;6.0e-12;frk+17;-5.04916E-15;9.0e-20;frk+17;7.23e+08;6.51e+08;4.6e+34;
28;J0024-7204V;clf+00;0.00481016762;7.0e-11;rft+16;*;0;*;207.892963;3.0e-06;rft+16;*;0;*;*;*;*;
29;J0024-7204W;clf+00;0.0023523445319370;3.0e-16;rft+16;-8.65526E-20;1.2e-24;rft+16;425.10779625320;5.0e-11;rft+16;1.56415E-14;2.0e-19;rft+16;*;*;*;
30;J0024-7204X;fre08;0.00477152291069356;5.0e-17;rft+16;1.83610E-20;7.0e-25;rft+16;209.576694635350;2.0e-12;rft+16;-8.0646E-16;3.0e-20;rft+16;4.12e+09;3e+08;6.7e+33;
31;J0024-7204Y;frk+17;0.00219665714352123;5.0e-17;frk+17;-3.51721E-20;1.0e-24;frk+17;455.23717843241;1.0e-11;frk+17;7.2891E-15;2.0e-19;frk+17;*;*;*;
32;J0024-7204Z;frk+17;0.004554447383906;3.0e-15;frk+17;-4.54E-21;7.0e-23;frk+17;219.5656060346;1.0e-10;frk+17;0.219E-15;3.0e-18;frk+17;*;*;*;
33;J0026+6320;jml+09;0.31835777079;3.0e-11;sjm+19;1.506E-16;6.0e-19;sjm+19;3.1411201226;2.0e-10;sjm+19;-1.486e-15;5.0e-18;sjm+19;3.35e+07;2.22e+11;1.8e+32;
34;J0030+0451;lzb+00;0.0048654532112551;3.0e-16;abb+18;1.01743E-20;1.2e-24;abb+18;205.530699110769;9.0e-12;abb+18;-4.2979E-16;5.0e-20;abb+18;7.58e+09;2.25e+08;3.5e+33;
35;J0033+57;hrk+08;0.315;0;hrk+08;*;0;*;3.174603;0;hrk+08;*;0;*;*;*;*;
36;J0033+61;hrk+08;0.912;0;hrk+08;*;0;*;1.096491;0;hrk+08;*;0;*;*;*;*;
